<gps i=123 t=1345217504000 x=30.44601733 y=59.87331922 z=20.2 s=0.75 c=335.2 a=39.0>
<gps i=123 t=1345217505015 x=30.44605932 y=59.8733136 z=20.3 s=1.0 c=117.3 a=31.0>
<gps i=123 t=1345217506009 x=30.44609132 y=59.87330854 z=20.5 s=0.75 c=134.8 a=26.0>
<gps i=123 t=1345217507006 x=30.44609947 y=59.87330407 z=20.3 s=0.5 c=134.8 a=26.0>
<gps i=123 t=1345217507992 x=30.44611193 y=59.87330349 z=20.0 s=0.5 c=134.8 a=29.0>
<gps i=123 t=1345217509023 x=30.44612467 y=59.8733063 z=20.0 s=0.5 c=134.8 a=33.0>
<gps i=123 t=1345217509999 x=30.4461293 y=59.87330786 z=20.0 s=0.25 c=134.8 a=34.0>
<gps i=123 t=1345217510993 x=30.44613551 y=59.87331191 z=19.8 s=0.25 c=134.8 a=35.0>
<gps i=123 t=1345217512013 x=30.44614577 y=59.87332199 z=17.9 s=0.25 c=134.8 a=33.0>
<gps i=123 t=1345217513014 x=30.44615928 y=59.87333233 z=18.1 s=0.5 c=134.8 a=35.0>
<gps i=123 t=1345217513997 x=30.44617422 y=59.87334063 z=17.9 s=0.5 c=134.8 a=37.0>
<gps i=123 t=1345217515000 x=30.44618696 y=59.87334852 z=18.0 s=0.5 c=134.8 a=40.0>
<gps i=123 t=1345217516000 x=30.44620094 y=59.87335515 z=17.8 s=0.5 c=134.8 a=40.0>
<gps i=123 t=1345217517009 x=30.4462135 y=59.87336097 z=17.8 s=0.5 c=134.8 a=42.0>
<gps i=123 t=1345217517999 x=30.44621485 y=59.87336227 z=18.1 s=0.25 c=134.8 a=43.0>
<gps i=123 t=1345217518997 x=30.44622783 y=59.87336203 z=18.2 s=0.5 c=134.8 a=43.0>
<gps i=123 t=1345217520019 x=30.44620234 y=59.87336338 z=19.2 s=0.25 c=134.8 a=37.0>
<gps i=123 t=1345217520993 x=30.44615258 y=59.87335894 z=19.7 s=0.25 c=134.8 a=30.0>
<gps i=123 t=1345217522001 x=30.44608064 y=59.8733474 z=22.0 s=0.5 c=134.8 a=28.0>
<gps i=123 t=1345217523012 x=30.44603202 y=59.87333758 z=23.1 s=0.0 c=0.0 a=24.0>
<gps i=123 t=1345217524019 x=30.44599033 y=59.87333486 z=22.3 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1345217525002 x=30.4459579 y=59.87333421 z=22.5 s=0.25 c=134.8 a=19.0>
<gps i=123 t=1345217525990 x=30.44593233 y=59.87333435 z=22.5 s=0.25 c=134.8 a=18.0>
<gps i=123 t=1345217527020 x=30.44591311 y=59.87333537 z=22.6 s=0.25 c=134.8 a=18.0>
<gps i=123 t=1345217528020 x=30.44589721 y=59.87334063 z=22.4 s=0.5 c=134.8 a=17.0>
<gps i=123 t=1345217529010 x=30.44588407 y=59.87334453 z=23.6 s=0.25 c=134.8 a=15.0>
<gps i=123 t=1345217530002 x=30.44587966 y=59.87334809 z=25.0 s=0.25 c=134.8 a=13.0>
<gps i=123 t=1345217531022 x=30.44587964 y=59.87335204 z=24.6 s=0.25 c=134.8 a=12.0>
<gps i=123 t=1345217532021 x=30.44589733 y=59.87335036 z=22.7 s=0.0 c=0.0 a=10.0>
<gps i=123 t=1345217533048 x=30.44592364 y=59.87335083 z=25.0 s=0.25 c=134.8 a=10.0>
<gps i=123 t=1345217534031 x=30.44594649 y=59.87335114 z=23.8 s=0.25 c=134.8 a=10.0>
<gps i=123 t=1345217534999 x=30.44596323 y=59.87335058 z=24.1 s=0.25 c=134.8 a=10.0>
<gps i=123 t=1345217536002 x=30.44596755 y=59.87335065 z=24.3 s=0.25 c=134.8 a=10.0>
<gps i=123 t=1345217537004 x=30.44596508 y=59.87334933 z=24.3 s=0.25 c=134.8 a=13.0>
<gps i=123 t=1345217538004 x=30.44595275 y=59.87334843 z=20.5 s=0.0 c=0.0 a=11.0>
<gps i=123 t=1345217539005 x=30.44595456 y=59.87334856 z=22.1 s=0.0 c=0.0 a=11.0>
<gps i=123 t=1345217540016 x=30.44595179 y=59.87334048 z=17.9 s=0.0 c=0.0 a=11.0>
<gps i=123 t=1345217541008 x=30.44595786 y=59.87333667 z=17.6 s=0.0 c=0.0 a=9.0>
<gps i=123 t=1345217542003 x=30.4459846 y=59.87333486 z=17.2 s=0.0 c=0.0 a=9.0>
<gps i=123 t=1345217543017 x=30.4459846 y=59.87333486 z=17.2 s=0.0 c=0.0 a=12.0>
<gps i=123 t=1345217544037 x=30.44599458 y=59.87333319 z=17.6 s=0.0 c=0.0 a=10.0>
<gps i=123 t=1345217545019 x=30.44598731 y=59.87333228 z=17.7 s=0.0 c=0.0 a=10.0>
<gps i=123 t=1345217546001 x=30.44598731 y=59.87333228 z=17.7 s=0.0 c=0.0 a=12.0>
<gps i=123 t=1345217547032 x=30.44599046 y=59.87333528 z=18.5 s=0.0 c=0.0 a=11.0>
<gps i=123 t=1345217548051 x=30.44599528 y=59.87333639 z=18.0 s=0.0 c=0.0 a=9.0>
<gps i=123 t=1345217549011 x=30.44599465 y=59.87334256 z=19.9 s=0.0 c=0.0 a=9.0>
<gps i=123 t=1345217550006 x=30.44598957 y=59.87334878 z=21.5 s=0.0 c=0.0 a=10.0>
<gps i=123 t=1345217550993 x=30.44598957 y=59.87334878 z=21.5 s=0.0 c=0.0 a=12.0>
