<gps i=123 t=1345205743000 x=30.25834163 y=59.94154149 z=32.7 s=0.0 c=0.0 a=43.0>
<gps i=123 t=1345205744002 x=30.25832487 y=59.94149431 z=33.0 s=0.0 c=0.0 a=36.0>
<gps i=123 t=1345205744998 x=30.25841533 y=59.9415746 z=33.7 s=0.0 c=0.0 a=31.0>
<gps i=123 t=1345205745999 x=30.25841868 y=59.94157084 z=33.8 s=0.0 c=0.0 a=29.0>
<gps i=123 t=1345205746981 x=30.25842165 y=59.94157438 z=33.8 s=0.0 c=0.0 a=27.0>
<gps i=123 t=1345205747996 x=30.25841153 y=59.94155633 z=33.9 s=0.0 c=0.0 a=24.0>
<gps i=123 t=1345205748997 x=30.2584151 y=59.94155876 z=33.9 s=0.0 c=0.0 a=22.0>
<gps i=123 t=1345205749995 x=30.25841384 y=59.94155494 z=34.0 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1345205750995 x=30.25841245 y=59.94155021 z=34.0 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1345205751999 x=30.25841138 y=59.94154797 z=34.0 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1345205752997 x=30.25841171 y=59.94154698 z=34.0 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1345205753990 x=30.25841155 y=59.94154645 z=34.0 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1345205755001 x=30.25841244 y=59.94155023 z=34.0 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1345205755992 x=30.25841299 y=59.9415518 z=34.0 s=0.0 c=0.0 a=28.0>
<gps i=123 t=1345205756996 x=30.25840839 y=59.94153916 z=34.1 s=0.0 c=0.0 a=32.0>
<gps i=123 t=1345205758001 x=30.25840303 y=59.94152855 z=34.2 s=0.0 c=0.0 a=32.0>
<gps i=123 t=1345205759001 x=30.25840017 y=59.94152482 z=34.2 s=0.0 c=0.0 a=33.0>
<gps i=123 t=1345205759997 x=30.25839904 y=59.94152317 z=34.2 s=0.0 c=0.0 a=30.0>
<gps i=123 t=1345205760997 x=30.25839678 y=59.94152112 z=34.2 s=0.0 c=0.0 a=28.0>
<gps i=123 t=1345205762001 x=30.25839747 y=59.94152402 z=34.1 s=0.0 c=0.0 a=26.0>
<gps i=123 t=1345205762995 x=30.25839681 y=59.94152604 z=34.1 s=0.0 c=0.0 a=25.0>
<gps i=123 t=1345205764001 x=30.25839687 y=59.94152818 z=34.1 s=0.0 c=0.0 a=24.0>
<gps i=123 t=1345205764999 x=30.25839659 y=59.94152824 z=34.1 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1345205766008 x=30.25839499 y=59.94152578 z=34.1 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1345205767001 x=30.25839482 y=59.94152558 z=34.1 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1345205768003 x=30.25839503 y=59.94152669 z=34.1 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1345205769023 x=30.2583963 y=59.94153287 z=34.0 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1345205770001 x=30.25839482 y=59.94152965 z=34.1 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1345205771010 x=30.2583947 y=59.94152881 z=34.1 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1345205772003 x=30.258395 y=59.94153064 z=34.0 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1345205773005 x=30.25839458 y=59.94153003 z=34.0 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1345205774008 x=30.25839606 y=59.94153411 z=34.0 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1345205775007 x=30.25839717 y=59.94153709 z=34.0 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1345205776009 x=30.25839831 y=59.94153979 z=34.0 s=0.0 c=0.0 a=25.0>
<gps i=123 t=1345205777019 x=30.25839842 y=59.94154039 z=34.0 s=0.0 c=0.0 a=26.0>
<gps i=123 t=1345205778001 x=30.25839876 y=59.94154056 z=34.0 s=0.0 c=0.0 a=25.0>
<gps i=123 t=1345205779010 x=30.25840092 y=59.94154638 z=33.9 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1345205780005 x=30.25840222 y=59.94154789 z=33.9 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1345205781010 x=30.25840135 y=59.94154659 z=33.9 s=0.0 c=0.0 a=25.0>
<gps i=123 t=1345205782013 x=30.25840117 y=59.94154575 z=34.0 s=0.0 c=0.0 a=27.0>
