<gps i=123 t=1344346784007 x=30.25839545 y=59.94153608 z=34.0 s=0.0 c=0.0 a=32.0>
<gps i=123 t=1344346785007 x=30.25839513 y=59.9415362 z=34.0 s=0.0 c=0.0 a=33.0>
<gps i=123 t=1344346786007 x=30.25839518 y=59.94153589 z=34.0 s=0.0 c=0.0 a=35.0>
<gps i=123 t=1344346787007 x=30.25839473 y=59.94153477 z=34.0 s=0.0 c=0.0 a=35.0>
<gps i=123 t=1344346788015 x=30.25839485 y=59.94153467 z=34.0 s=0.0 c=0.0 a=36.0>
<gps i=123 t=1344346788992 x=30.25839548 y=59.94153544 z=34.0 s=0.0 c=0.0 a=37.0>
<gps i=123 t=1344346790016 x=30.25839537 y=59.94153439 z=34.0 s=0.0 c=0.0 a=38.0>
<gps i=123 t=1344346791007 x=30.25839653 y=59.9415367 z=34.0 s=0.0 c=0.0 a=39.0>
<gps i=123 t=1344346792005 x=30.25839691 y=59.94153736 z=34.0 s=0.0 c=0.0 a=39.0>
<gps i=123 t=1344346793007 x=30.2583972 y=59.94153714 z=34.0 s=0.0 c=0.0 a=39.0>
<gps i=123 t=1344346793999 x=30.25839719 y=59.94153466 z=34.0 s=0.0 c=0.0 a=39.0>
<gps i=123 t=1344346795006 x=30.25839777 y=59.94153547 z=34.0 s=0.0 c=0.0 a=39.0>
<gps i=123 t=1344346796007 x=30.25839781 y=59.94153564 z=34.0 s=0.0 c=0.0 a=39.0>
<gps i=123 t=1344346797012 x=30.25839759 y=59.94153352 z=34.1 s=0.0 c=0.0 a=38.0>
<gps i=123 t=1344346798013 x=30.25839735 y=59.94153268 z=34.1 s=0.0 c=0.0 a=39.0>
<gps i=123 t=1344346799003 x=30.25839761 y=59.94153291 z=34.1 s=0.0 c=0.0 a=39.0>
<gps i=123 t=1344346799999 x=30.2583971 y=59.94153305 z=34.0 s=0.0 c=0.0 a=39.0>
<gps i=123 t=1344346801017 x=30.25839709 y=59.9415335 z=34.0 s=0.0 c=0.0 a=39.0>
<gps i=123 t=1344346802017 x=30.25839707 y=59.9415333 z=34.0 s=0.0 c=0.0 a=38.0>
<gps i=123 t=1344346803009 x=30.25839735 y=59.9415344 z=34.0 s=0.0 c=0.0 a=38.0>
<gps i=123 t=1344346803998 x=30.25839687 y=59.94153371 z=34.0 s=0.0 c=0.0 a=38.0>
<gps i=123 t=1344346805007 x=30.25839731 y=59.94153589 z=34.0 s=0.0 c=0.0 a=38.0>
<gps i=123 t=1344346806023 x=30.25839787 y=59.94153651 z=34.0 s=0.0 c=0.0 a=38.0>
<gps i=123 t=1344346807023 x=30.25839821 y=59.94153834 z=34.0 s=0.0 c=0.0 a=37.0>
<gps i=123 t=1344346808013 x=30.25839797 y=59.9415382 z=34.0 s=0.0 c=0.0 a=38.0>
<gps i=123 t=1344346809000 x=30.25839744 y=59.94153726 z=34.0 s=0.0 c=0.0 a=38.0>
<gps i=123 t=1344346810020 x=30.25839758 y=59.94153886 z=34.0 s=0.0 c=0.0 a=37.0>
<gps i=123 t=1344346811016 x=30.25839704 y=59.94153782 z=34.0 s=0.0 c=0.0 a=37.0>
<gps i=123 t=1344346812005 x=30.25839666 y=59.94153557 z=34.0 s=0.0 c=0.0 a=37.0>
<gps i=123 t=1344346813015 x=30.25839597 y=59.94153414 z=34.0 s=0.0 c=0.0 a=37.0>
<gps i=123 t=1344346814007 x=30.25839568 y=59.94153366 z=34.0 s=0.0 c=0.0 a=36.0>
<gps i=123 t=1344346815007 x=30.2583948 y=59.94153066 z=34.0 s=0.0 c=0.0 a=32.0>
<gps i=123 t=1344346816006 x=30.25839386 y=59.94152713 z=34.1 s=0.0 c=0.0 a=29.0>
<gps i=123 t=1344346817015 x=30.2583922 y=59.94152443 z=34.1 s=0.0 c=0.0 a=27.0>
<gps i=123 t=1344346818006 x=30.2583906 y=59.94152267 z=34.1 s=0.0 c=0.0 a=25.0>
<gps i=123 t=1344346819018 x=30.2583905 y=59.94152234 z=34.1 s=0.0 c=0.0 a=24.0>
<gps i=123 t=1344346820009 x=30.25839083 y=59.941523 z=34.1 s=0.0 c=0.0 a=22.0>
<gps i=123 t=1344346821018 x=30.25839056 y=59.94152215 z=34.1 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346822016 x=30.25838851 y=59.9415209 z=34.1 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346823023 x=30.2583877 y=59.94151946 z=34.1 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346824009 x=30.25838711 y=59.94151637 z=34.1 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346825000 x=30.25838636 y=59.94151529 z=34.1 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346826014 x=30.25838649 y=59.94151493 z=34.1 s=0.0 c=0.0 a=18.0>
<gps i=123 t=1344346827002 x=30.25838681 y=59.94151628 z=34.1 s=0.0 c=0.0 a=18.0>
<gps i=123 t=1344346828015 x=30.25838676 y=59.94151616 z=34.1 s=0.0 c=0.0 a=17.0>
<gps i=123 t=1344346829006 x=30.25838603 y=59.94151713 z=34.1 s=0.0 c=0.0 a=17.0>
<gps i=123 t=1344346830006 x=30.25838606 y=59.94151699 z=34.1 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346831000 x=30.25838704 y=59.94151752 z=34.1 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346832006 x=30.25838767 y=59.94151871 z=34.1 s=0.0 c=0.0 a=22.0>
<gps i=123 t=1344346833015 x=30.25838711 y=59.94151689 z=34.1 s=0.0 c=0.0 a=24.0>
<gps i=123 t=1344346834001 x=30.25838683 y=59.94151655 z=34.1 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346835008 x=30.25838648 y=59.94151615 z=34.1 s=0.0 c=0.0 a=22.0>
<gps i=123 t=1344346836014 x=30.25838612 y=59.94151589 z=34.1 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346837001 x=30.25838619 y=59.94151575 z=34.1 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346838017 x=30.25838663 y=59.94151442 z=34.2 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346839025 x=30.25838679 y=59.94151432 z=34.2 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346840014 x=30.25838689 y=59.94151405 z=34.2 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346841011 x=30.25838719 y=59.9415141 z=34.2 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346842005 x=30.25838849 y=59.94151445 z=34.2 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346843002 x=30.25838912 y=59.94151533 z=34.2 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346844007 x=30.25838973 y=59.94151312 z=34.2 s=0.0 c=0.0 a=17.0>
<gps i=123 t=1344346845009 x=30.2583899 y=59.94151359 z=34.2 s=0.0 c=0.0 a=18.0>
<gps i=123 t=1344346846014 x=30.25839005 y=59.94151369 z=34.2 s=0.0 c=0.0 a=17.0>
<gps i=123 t=1344346847008 x=30.25839003 y=59.94151343 z=34.2 s=0.0 c=0.0 a=17.0>
<gps i=123 t=1344346848015 x=30.25839014 y=59.94151377 z=34.2 s=0.0 c=0.0 a=16.0>
<gps i=123 t=1344346848991 x=30.25838954 y=59.94151325 z=34.2 s=0.0 c=0.0 a=16.0>
<gps i=123 t=1344346850018 x=30.25838988 y=59.94151348 z=34.2 s=0.0 c=0.0 a=17.0>
<gps i=123 t=1344346851008 x=30.25838938 y=59.94151283 z=34.2 s=0.0 c=0.0 a=16.0>
<gps i=123 t=1344346852026 x=30.25838876 y=59.94151218 z=34.2 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346853021 x=30.25838854 y=59.94151193 z=34.2 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346854019 x=30.25838792 y=59.94151181 z=34.2 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346855027 x=30.25838797 y=59.94151229 z=34.2 s=0.0 c=0.0 a=28.0>
<gps i=123 t=1344346856001 x=30.25838757 y=59.94151216 z=34.2 s=0.0 c=0.0 a=33.0>
<gps i=123 t=1344346857002 x=30.25838687 y=59.94151223 z=34.2 s=0.0 c=0.0 a=34.0>
<gps i=123 t=1344346858006 x=30.25838633 y=59.94151307 z=34.2 s=0.0 c=0.0 a=34.0>
<gps i=123 t=1344346859002 x=30.25838612 y=59.94151204 z=34.2 s=0.0 c=0.0 a=31.0>
<gps i=123 t=1344346860006 x=30.25838587 y=59.94151154 z=34.2 s=0.0 c=0.0 a=29.0>
<gps i=123 t=1344346861007 x=30.25838555 y=59.94151009 z=34.2 s=0.0 c=0.0 a=27.0>
<gps i=123 t=1344346862002 x=30.25838551 y=59.94150969 z=34.2 s=0.0 c=0.0 a=25.0>
<gps i=123 t=1344346863007 x=30.25838454 y=59.94150898 z=34.2 s=0.0 c=0.0 a=25.0>
<gps i=123 t=1344346864007 x=30.25838462 y=59.94150913 z=34.2 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346865015 x=30.25838434 y=59.94150884 z=34.2 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346866007 x=30.25838396 y=59.94150779 z=34.3 s=0.0 c=0.0 a=22.0>
<gps i=123 t=1344346867013 x=30.25838318 y=59.94150719 z=34.3 s=0.0 c=0.0 a=22.0>
<gps i=123 t=1344346868006 x=30.25838216 y=59.94150624 z=34.3 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346869007 x=30.25838232 y=59.94150633 z=34.3 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346870015 x=30.25838204 y=59.94150601 z=34.3 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346871024 x=30.25838281 y=59.94150714 z=34.3 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346872008 x=30.25838332 y=59.94150683 z=34.3 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346873001 x=30.25838332 y=59.94150716 z=34.3 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346874006 x=30.25838374 y=59.94150776 z=34.3 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346875007 x=30.25838412 y=59.94150839 z=34.3 s=0.0 c=0.0 a=24.0>
<gps i=123 t=1344346876006 x=30.25838466 y=59.94150919 z=34.3 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346877005 x=30.25838457 y=59.9415094 z=34.3 s=0.0 c=0.0 a=22.0>
<gps i=123 t=1344346878013 x=30.25838496 y=59.94150976 z=34.3 s=0.0 c=0.0 a=21.0>
